id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city,neighbourhood_group,price_category,availability_category,review_activity,host_listing_count_x,host_type,host_listing_count_y,host_listing_count
1209479388455172902,ADA 2 Bedroom 2 Bath Courtyard,376995864,EsplanadeMansion,Unknown,29.96565,-90.06428,Private room,125.0,1.0,68,2026-05-29,3.22,313,New Orleans,Other,Mid-Range ($100-150),Always Available (271-365),Highly Active,10,Professional (4+ listings),10,10
1209593572145431321,NOLA 2BR Marquee Theatre District w/Rooftop Pool,303719667,Chris,Unknown,29.95595,-90.07456,Entire home/apt,806.6,3.0,0,Unknown,0.0,5,New Orleans,Other,Luxury ($250+),Low (0-90 days),No Reviews,8,Professional (4+ listings),8,8
1209594147108838839,NOLA 3BR Presidential Theatre Dist. W/Rooftop Pool,303719667,Chris,Unknown,29.956236848777305,-90.07371736650371,Entire home/apt,1229.0,4.0,1,2025-02-11,0.06,5,New Orleans,Other,Luxury ($250+),Low (0-90 days),Occasional,8,Professional (4+ listings),8,8
1209594264229593854,NOLA 2BR Marquee Theatre District w/Rooftop Pool,303719667,Chris,Unknown,29.95472884615418,-90.0728907930439,Entire home/apt,946.2,1.0,1,2025-02-10,0.06,5,New Orleans,Other,Luxury ($250+),Low (0-90 days),Occasional,8,Professional (4+ listings),8,8
1209594327737284742,NOLA 1BR Marquee Theatre District w/Rooftop Pool,303719667,Chris,Unknown,29.954723453258104,-90.07291835507137,Private room,620.6,5.0,0,Unknown,0.0,5,New Orleans,Other,Luxury ($250+),Low (0-90 days),No Reviews,8,Professional (4+ listings),8,8
1209594473352584184,NOLA 1BR Marquee Theatre District w/Rooftop Pool,303719667,Chris,Unknown,29.95584582319293,-90.0748903646075,Private room,575.0,4.0,1,2026-02-17,0.25,5,New Orleans,Other,Luxury ($250+),Low (0-90 days),Occasional,8,Professional (4+ listings),8,8
1210205994766606624,Home Downtown New Orleans,136807475,Michael,Unknown,29.9894004295296,-90.06007297356628,Entire home/apt,189.5,2.0,53,2026-06-08,2.48,63,New Orleans,Other,Premium ($150-250),Low (0-90 days),Regular,1,Casual (1 listing),1,1
1210456402892865113,5 Minutes from Ferry and French Quarter,123970511,Desiree,Unknown,29.93981,-90.02399,Entire home/apt,121.9,30.0,2,2025-01-26,0.1,353,New Orleans,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
1210872495593357333,Warehouse District 1Bed/1 Bath,10041496,Gretchen,Unknown,29.9415066,-90.0684083,Entire home/apt,118.37,30.0,0,Unknown,0.0,89,New Orleans,Other,Mid-Range ($100-150),Low (0-90 days),No Reviews,1,Casual (1 listing),1,1
1210924833573942990,Architects Bungalow + 29 Days,28372862,Lindi,Unknown,29.93333,-90.11297,Entire home/apt,146.32,30.0,4,2025-11-30,0.22,365,New Orleans,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,2,Growing (2-3 listings),2,2
1211099854767920058,Mid-City Studio,129781951,Chelsea,Unknown,29.96296,-90.08307,Entire home/apt,49.8,30.0,8,2026-01-10,0.4,112,New Orleans,Other,Budget (< $50),Medium (91-180 days),Occasional,1,Casual (1 listing),1,1
1211362393606659033,Lakeview New Orleans Townhome w King bed& gameroom,592838285,Sac,Unknown,29.996898,-90.1180322,Entire home/apt,436.5,2.0,10,2026-04-19,0.46,270,New Orleans,Other,Luxury ($250+),High (181-270 days),Occasional,1,Casual (1 listing),1,1
1212443415664406069,The Atomic Family Room,590865143,Mowgli,Unknown,29.96826667918934,-90.05489438095093,Private room,85.0,1.0,99,2026-05-23,4.44,163,New Orleans,Other,Economy ($50-100),Medium (91-180 days),Highly Active,6,Professional (4+ listings),6,6
1212794091537706584,Spacious 3BR Downtown Condo in New Orleans,442924771,Hosteeva Carondelet Luxe Condos,Unknown,29.941840997790106,-90.07513703760766,Entire home/apt,261.57,30.0,19,2026-04-26,0.86,321,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,15,Professional (4+ listings),15,15
